Category,State/ UT Name,Year,Vegetable,Area,Production
State,Andhra Pradesh,2009-10,Brinjal,24.3,485
State,Arunachal Pradesh,2009-10,Brinjal,0,0
State,Assam,2009-10,Brinjal,15.9,253
State,Bihar,2009-10,Brinjal,55.3,1198.6
State,Chhattisgarh,2009-10,Brinjal,25.2,374.5
State,Goa,2009-10,Brinjal,0,0
State,Gujarat,2009-10,Brinjal,65.8,1143.6
State,Haryana,2009-10,Brinjal,13,143.2
State,Himachal Pradesh,2009-10,Brinjal,1.1,20.5
State,Jammu & Kashmir,2009-10,Brinjal,2.5,40.6
State,Jharkhand,2009-10,Brinjal,22.7,398.3
State,Karnataka,2009-10,Brinjal,15.7,372.7
State,Kerala,2009-10,Brinjal,0,0
State,Madhya Pradesh,2009-10,Brinjal,20.5,246
State,Maharashtra,2009-10,Brinjal,30,495
State,Manipur,2009-10,Brinjal,0,0
State,Meghalaya,2009-10,Brinjal,0,0
State,Mizoram,2009-10,Brinjal,0,0
State,Nagaland,2009-10,Brinjal,0.1,2.2
State,Odisha,2009-10,Brinjal,132.4,2135.2
State,Punjab,2009-10,Brinjal,3.2,48.5
State,Rajasthan,2009-10,Brinjal,5.6,21.9
State,Sikkim,2009-10,Brinjal,0.3,1.6
State,Tamil Nadu,2009-10,Brinjal,11.9,188.4
State,Telangana,2009-10,Brinjal,0,0
State,Tripura,2009-10,Brinjal,2.9,38.9
State,Uttarakhand,2009-10,Brinjal,2.1,24.6
State,Uttar Pradesh,2009-10,Brinjal,3,90
State,West Bengal,2009-10,Brinjal,156.8,2797.3
Union Territory,Union Territory (Total),2009-10,Brinjal,0,0
Union Territory,Dadra & Nagar Haveli,2009-10,Brinjal,0,0
Union Territory,Chandigarh,2009-10,Brinjal,0,0
Union Territory,D. & N. Haveli,2009-10,Brinjal,0.5,2.2
Union Territory,Daman & Diu,2009-10,Brinjal,0,0
Union Territory,Delhi,2009-10,Brinjal,1.6,34
Union Territory,Lakshadweep,2009-10,Brinjal,0,0
Union Territory,Puducherry,2009-10,Brinjal,0.3,6
Total,Total,2009-10,Brinjal,612.7,10561.8
State,Andhra Pradesh,2010-2011,Brinjal,0,0
State,Arunachal Pradesh,2010-2011,Brinjal,0,0
State,Assam,2010-2011,Brinjal,0,0
State,Bihar,2010-2011,Brinjal,0,0
State,Chhattisgarh,2010-2011,Brinjal,26.7,439.5
State,Goa,2010-2011,Brinjal,0,0
State,Gujarat,2010-2011,Brinjal,72,1236.3
State,Haryana,2010-2011,Brinjal,14.6,255.2
State,Himachal Pradesh,2010-2011,Brinjal,1,25.1
State,Jammu & Kashmir,2010-2011,Brinjal,2.6,45.3
State,Jharkhand,2010-2011,Brinjal,16.4,212.6
State,Karnataka,2010-2011,Brinjal,14.2,354.5
State,Kerala,2010-2011,Brinjal,0,0
State,Madhya Pradesh,2010-2011,Brinjal,23.4,281
State,Maharashtra,2010-2011,Brinjal,35,490
State,Manipur,2010-2011,Brinjal,0,0
State,Meghalaya,2010-2011,Brinjal,0,0
State,Mizoram,2010-2011,Brinjal,2,12.9
State,Nagaland,2010-2011,Brinjal,0.1,2.2
State,Odisha,2010-2011,Brinjal,133.2,2204.8
State,Punjab,2010-2011,Brinjal,3.2,68.9
State,Rajasthan,2010-2011,Brinjal,6.3,30.9
State,Sikkim,2010-2011,Brinjal,0.3,1.6
State,Tamil Nadu,2010-2011,Brinjal,12.4,203.5
State,Telangana,2010-2011,Brinjal,0,0
State,Tripura,2010-2011,Brinjal,3.2,43.9
State,Uttarakhand,2010-2011,Brinjal,2.2,25.9
State,Uttar Pradesh,2010-2011,Brinjal,3,92.1
State,West Bengal,2010-2011,Brinjal,158.4,2870.6
Union Territory,Union Territory (Total),2010-2011,Brinjal,0,0
Union Territory,Dadra & Nagar Haveli,2010-2011,Brinjal,0,0
Union Territory,Chandigarh,2010-2011,Brinjal,0,0
Union Territory,D. & N. Haveli,2010-2011,Brinjal,0.5,2.2
Union Territory,Daman & Diu,2010-2011,Brinjal,0,0
Union Territory,Delhi,2010-2011,Brinjal,1.6,30.7
Union Territory,Lakshadweep,2010-2011,Brinjal,0,0
Union Territory,Puducherry,2010-2011,Brinjal,0.2,1.5
Total,Total,2010-2011,Brinjal,532.5,8931.2
State,Andhra Pradesh,2011-12,Brinjal,76.3,1524.9
State,Arunachal Pradesh,2011-12,Brinjal,0,0
State,Assam,2011-12,Brinjal,16.5,260.1
State,Bihar,2011-12,Brinjal,56.1,1271.5
State,Chhattisgarh,2011-12,Brinjal,28.5,502.9
State,Goa,2011-12,Brinjal,0,0
State,Gujarat,2011-12,Brinjal,73.1,1270.6
State,Haryana,2011-12,Brinjal,17.8,281.5
State,Himachal Pradesh,2011-12,Brinjal,1.1,25.6
State,Jammu & Kashmir,2011-12,Brinjal,2,45.2
State,Jharkhand,2011-12,Brinjal,22.7,295
State,Karnataka,2011-12,Brinjal,17.1,438.1
State,Kerala,2011-12,Brinjal,0,0
State,Madhya Pradesh,2011-12,Brinjal,30.8,532.5
State,Maharashtra,2011-12,Brinjal,25,525
State,Manipur,2011-12,Brinjal,0,0
State,Meghalaya,2011-12,Brinjal,1,12.8
State,Mizoram,2011-12,Brinjal,2.1,13.5
State,Nagaland,2011-12,Brinjal,0.4,2.4
State,Odisha,2011-12,Brinjal,130.1,2186.3
State,Punjab,2011-12,Brinjal,3.4,71.7
State,Rajasthan,2011-12,Brinjal,5.3,26.6
State,Sikkim,2011-12,Brinjal,0.3,1.6
State,Tamil Nadu,2011-12,Brinjal,12.9,219.8
State,Telangana,2011-12,Brinjal,0,0
State,Tripura,2011-12,Brinjal,1.6,30.2
State,Uttarakhand,2011-12,Brinjal,2.3,27.1
State,Uttar Pradesh,2011-12,Brinjal,2.9,90.8
State,West Bengal,2011-12,Brinjal,160,2945.7
Union Territory,Union Territory (Total),2011-12,Brinjal,0,0
